Orthogroup	Pfalciparum	Tgondii
OG0000409	PF3D7_0314500	TGME49_313110
OG0000410	PF3D7_0705900	TGME49_249720
OG0000411	PF3D7_1211000	TGME49_273560
OG0000412	PF3D7_1206500	TGME49_261560
OG0000413	PF3D7_1319500	TGME49_318340
OG0000414	PF3D7_0214800	TGME49_224935
OG0000415	PF3D7_0305300	TGME49_310210
OG0000416	PF3D7_0815200	TGME49_295040
OG0000417	PF3D7_0630300	TGME49_319860
OG0000418	PF3D7_0214200	TGME49_225240
OG0000419	PF3D7_1228500	TGME49_210230
OG0000420	PF3D7_1120300	TGME49_235402
OG0000421	PF3D7_1456700	TGME49_294770
OG0000422	PF3D7_1231700	TGME49_202450
OG0000423	PF3D7_0934300	TGME49_208440
OG0000424	PF3D7_1353800	TGME49_239500
OG0000425	PF3D7_0907600	TGME49_211410
OG0000426	PF3D7_1365900	TGME49_289750
OG0000427	PF3D7_0628600	TGME49_213890
OG0000428	PF3D7_1247300	TGME49_270220
OG0000429	PF3D7_1204700	TGME49_207020
OG0000430	PF3D7_0522300	TGME49_260610
OG0000431	PF3D7_1133800	TGME49_250750
OG0000432	PF3D7_1139700	TGME49_261030
OG0000433	PF3D7_1429800	TGME49_266990
OG0000434	PF3D7_1447700	TGME49_213910
OG0000435	PF3D7_1133700	TGME49_267600
OG0000436	PF3D7_0809600	TGME49_262825
OG0000437	PF3D7_0728900	TGME49_215230
OG0000438	PF3D7_0829200	TGME49_243950
OG0000439	PF3D7_1459300	TGME49_254050
OG0000440	PF3D7_1360100	TGME49_203080
OG0000441	PF3D7_0517900	TGME49_201220
OG0000442	PF3D7_1121400	TGME49_281480
OG0000443	PF3D7_0619400	TGME49_273090
OG0000444	PF3D7_1430200	TGME49_246550
OG0000445	PF3D7_0209600	TGME49_285800
OG0000446	PF3D7_0205800	TGME49_260370
OG0000447	PF3D7_1365600	TGME49_262890
OG0000448	PF3D7_1244700	TGME49_203280
OG0000449	PF3D7_0723700	TGME49_258590
OG0000450	PF3D7_1337000	TGME49_272670
OG0000451	PF3D7_1402500	TGME49_245620
OG0000452	PF3D7_1362000	TGME49_286530
OG0000453	PF3D7_1466600	TGME49_207790
OG0000454	PF3D7_0311400	TGME49_218550
OG0000455	PF3D7_1434800	TGME49_214790
OG0000456	PF3D7_1107500	TGME49_203362
OG0000457	PF3D7_0422300	TGME49_316400
OG0000458	PF3D7_1455500	TGME49_313670
OG0000459	PF3D7_1431800	TGME49_307800
OG0000460	PF3D7_0611900	TGME49_232720
OG0000461	PF3D7_0307100	TGME49_205340
OG0000462	PF3D7_0525400	TGME49_213730
OG0000463	PF3D7_0729500	TGME49_217350
OG0000464	PF3D7_0503900	TGME49_313970
OG0000465	PF3D7_1111800	TGME49_229490
OG0000466	PF3D7_1411300	TGME49_261410
OG0000467	PF3D7_1445000	TGME49_214620
OG0000468	PF3D7_0418100	TGME49_319930
OG0000469	PF3D7_0719100	TGME49_310360
OG0000470	PF3D7_1214600	TGME49_240670
OG0000471	PF3D7_1111200	TGME49_316180
OG0000472	PF3D7_1307600	TGME49_249560
OG0000473	PF3D7_0209100	TGME49_254420
OG0000474	PF3D7_0311700	TGME49_262940
OG0000475	PF3D7_0822800	TGME49_310860
OG0000476	PF3D7_0405600	TGME49_270270
OG0000477	PF3D7_1362500	TGME49_275830
OG0000478	PF3D7_0825400	TGME49_247410
OG0000479	PF3D7_1326400	TGME49_216260
OG0000480	PF3D7_1010600	TGME49_235540
OG0000481	PF3D7_0505000	TGME49_222230
OG0000482	PF3D7_1134800	TGME49_221522
OG0000483	PF3D7_1407500	TGME49_270540
OG0000484	PF3D7_0728000	TGME49_313230
OG0000485	PF3D7_0308000	TGME49_233820
OG0000486	PF3D7_0405700	TGME49_280700
OG0000487	PF3D7_1473100	TGME49_275350
OG0000488	PF3D7_0312100	TGME49_248450
OG0000489	PF3D7_1314500	TGME49_237250
OG0000490	PF3D7_0602000	TGME49_301400
OG0000491	PF3D7_1236800	TGME49_306470
OG0000492	PF3D7_0219200	TGME49_291850
OG0000493	PF3D7_0910900	TGME49_297840
OG0000494	PF3D7_0723500	TGME49_313820
OG0000495	PF3D7_1326700	TGME49_203358
OG0000496	PF3D7_1120600	TGME49_250330
OG0000497	PF3D7_0609900	TGME49_314240
OG0000498	PF3D7_1215600	TGME49_217030
OG0000499	PF3D7_0105900	TGME49_250890
OG0000500	PF3D7_0929500	TGME49_256025
OG0000501	PF3D7_0934200	TGME49_233170
OG0000502	PF3D7_1434500	TGME49_242625
OG0000503	PF3D7_0521100	TGME49_280420
OG0000504	PF3D7_1119500	TGME49_207390
OG0000505	PF3D7_1146800	TGME49_239670
OG0000506	PF3D7_0317700	TGME49_267710
OG0000507	PF3D7_1003100	TGME49_200310
OG0000508	PF3D7_0719700	TGME49_275810
OG0000509	PF3D7_0828300	TGME49_288570
OG0000510	PF3D7_0109400	TGME49_295310
OG0000511	PF3D7_1343800	TGME49_306020
OG0000512	PF3D7_1004700	TGME49_291320
OG0000513	PF3D7_1466000	TGME49_232290
OG0000514	PF3D7_0517000	TGME49_254440
OG0000515	PF3D7_1025000	TGME49_227800
OG0000516	PF3D7_1119100	TGME49_314770
OG0000517	PF3D7_1236700	TGME49_215510
OG0000518	PF3D7_1307700	TGME49_216030
OG0000519	PF3D7_1427600	TGME49_305190
OG0000520	PF3D7_1447300	TGME49_277700
OG0000521	PF3D7_1357200	TGME49_241870
OG0000522	PF3D7_0630600	TGME49_286800
OG0000523	PF3D7_1454000	TGME49_214820
OG0000524	PF3D7_1245400	TGME49_230050
OG0000525	PF3D7_1443600	TGME49_209970
OG0000526	PF3D7_1338000	TGME49_310140
OG0000527	PF3D7_1404400	TGME49_220150
OG0000528	PF3D7_1128100	TGME49_315110
OG0000529	PF3D7_0613400	TGME49_211870
OG0000530	PF3D7_1336100	TGME49_236820
OG0000531	PF3D7_1104800	TGME49_309580
OG0000532	PF3D7_1450800	TGME49_289960
OG0000533	PF3D7_1112600	TGME49_251670
OG0000534	PF3D7_1319300	TGME49_267480
OG0000535	PF3D7_1232900	TGME49_257800
OG0000536	PF3D7_1028200	TGME49_226740
OG0000537	PF3D7_0210300	TGME49_297245
OG0000538	PF3D7_0107400	TGME49_260180
OG0000539	PF3D7_0812200	TGME49_318290
OG0000540	PF3D7_0410600	TGME49_273905
OG0000541	PF3D7_1036900	TGME49_230940
OG0000542	PF3D7_1430000	TGME49_246460
OG0000543	PF3D7_1470900	TGME49_254900
OG0000544	PF3D7_0612000	TGME49_242850
OG0000545	PF3D7_0620100	TGME49_245450
OG0000546	PF3D7_1206400	TGME49_305910
OG0000547	PF3D7_1217300	TGME49_211480
OG0000548	PF3D7_1332500	TGME49_318490
OG0000549	PF3D7_1204600	TGME49_215750
OG0000550	PF3D7_0414000	TGME49_306310
OG0000551	PF3D7_1456600	TGME49_226280
OG0000552	PF3D7_1028400	TGME49_232520
OG0000553	PF3D7_1339500	TGME49_268685
OG0000554	PF3D7_1024700	TGME49_235398
OG0000555	PF3D7_1243100	TGME49_275310
OG0000556	PF3D7_0423200	TGME49_220320
OG0000557	PF3D7_1219100	TGME49_290950
OG0000558	PF3D7_0906910	TGME49_305060
OG0000559	PF3D7_1009200	TGME49_228710
OG0000560	PF3D7_1246500	TGME49_285170
OG0000561	PF3D7_0213800	TGME49_274120
OG0000562	PF3D7_1320800	TGME49_219550
OG0000563	PF3D7_0111500	TGME49_257740
OG0000564	PF3D7_0614800	TGME49_305920
OG0000565	PF3D7_0926300	TGME49_301270
OG0000566	PF3D7_1406000	TGME49_233230
OG0000567	PF3D7_1439700	TGME49_237570
OG0000568	PF3D7_0623400	TGME49_299030
OG0000569	PF3D7_0714100	TGME49_254750
OG0000570	PF3D7_1438000	TGME49_258740
OG0000571	PF3D7_1227900	TGME49_244430
OG0000572	PF3D7_0629500	TGME49_226060
OG0000573	PF3D7_1239400	TGME49_217490
OG0000574	PF3D7_1202500	TGME49_285520
OG0000575	PF3D7_1327100	TGME49_244515
OG0000576	PF3D7_0933200	TGME49_231590
OG0000577	PF3D7_0529000	TGME49_301450
OG0000578	PF3D7_0316900	TGME49_220570
OG0000579	PF3D7_0719500	TGME49_239540
OG0000580	PF3D7_0530600	TGME49_253950
OG0000581	PF3D7_1003400	TGME49_238170
OG0000582	PF3D7_1304400	TGME49_209100
OG0000583	PF3D7_0610200	TGME49_270770
OG0000584	PF3D7_1414900	TGME49_308580
OG0000585	PF3D7_1426100	TGME49_257090
OG0000586	PF3D7_0728300	TGME49_227860
OG0000587	PF3D7_0517500	TGME49_218200
OG0000588	PF3D7_1359800	TGME49_269780
OG0000589	PF3D7_1223900	TGME49_239720
OG0000590	PF3D7_1302800	TGME49_239100
OG0000591	PF3D7_0602200	TGME49_310850
OG0000592	PF3D7_1141300	TGME49_208340
OG0000593	PF3D7_0707400	TGME49_234420
OG0000594	PF3D7_1110600	TGME49_254380
OG0000595	PF3D7_0216800	TGME49_319500
OG0000596	PF3D7_1241300	TGME49_228320
OG0000597	PF3D7_1121500	TGME49_278720
OG0000598	PF3D7_1338300	TGME49_300140
OG0000599	PF3D7_0618200	TGME49_226980
OG0000600	PF3D7_0422100	TGME49_310750
OG0000601	PF3D7_1344100	TGME49_209450
OG0000602	PF3D7_0213200	TGME49_206480
OG0000603	PF3D7_1206600	TGME49_272740
OG0000604	PF3D7_0606100	TGME49_294710
OG0000605	PF3D7_0111700	TGME49_273830
OG0000606	PF3D7_1142300	TGME49_285500
OG0000607	PF3D7_1318400	TGME49_297800
OG0000608	PF3D7_1134400	TGME49_310500
OG0000609	PF3D7_1311700	TGME49_229420
OG0000610	PF3D7_0915300	TGME49_310200
OG0000611	PF3D7_1444100	TGME49_206550
OG0000612	PF3D7_1346600	TGME49_306650
OG0000613	PF3D7_1449800	TGME49_217900
OG0000614	PF3D7_1018000	TGME49_306520
OG0000615	PF3D7_1408600	TGME49_245460
OG0000616	PF3D7_0713600	TGME49_285970
OG0000617	PF3D7_1234000	TGME49_288710
OG0000618	PF3D7_0714500	TGME49_293670
OG0000619	PF3D7_0708900	TGME49_257440
OG0000620	PF3D7_0309500	TGME49_253430
OG0000621	PF3D7_0934000	TGME49_295050
OG0000622	PF3D7_1306600	TGME49_208590
OG0000623	PF3D7_1461900	TGME49_253290
OG0000624	PF3D7_1406900	TGME49_252465
OG0000625	PF3D7_0927200	TGME49_255310
OG0000626	PF3D7_0203200	TGME49_306530
OG0000627	PF3D7_1361700	TGME49_226590
OG0000628	PF3D7_0926100	TGME49_231070
OG0000629	PF3D7_1020100	TGME49_262480
OG0000630	PF3D7_1246300	TGME49_272600
OG0000631	PF3D7_0306000	TGME49_227910
OG0000632	PF3D7_1105800	TGME49_215430
OG0000633	PF3D7_1314700	TGME49_286790
OG0000634	PF3D7_0502900	TGME49_227870
OG0000635	PF3D7_1460200	TGME49_236520
OG0000636	PF3D7_1146900	TGME49_250740
OG0000637	PF3D7_1250500	TGME49_215130
OG0000638	PF3D7_0603900	TGME49_254850
OG0000639	PF3D7_1007000	TGME49_226270
OG0000640	PF3D7_1030300	TGME49_284180
OG0000641	PF3D7_0621100	TGME49_268870
OG0000642	PF3D7_1368900	TGME49_265020
OG0000643	PF3D7_1007600	TGME49_267340
OG0000644	PF3D7_1223400	TGME49_224190
OG0000645	PF3D7_0315500	TGME49_263550
OG0000646	PF3D7_0816100	TGME49_242880
OG0000647	PF3D7_1429100	TGME49_220300
OG0000648	PF3D7_0715900	TGME49_251630
OG0000649	PF3D7_1420200	TGME49_249480
OG0000650	PF3D7_1311300	TGME49_231910
OG0000651	PF3D7_1135600	TGME49_260270
OG0000652	PF3D7_1330500	TGME49_265390
OG0000653	PF3D7_1229600	TGME49_282150
OG0000654	PF3D7_1114400	TGME49_213420
OG0000655	PF3D7_1430300	TGME49_304650
OG0000656	PF3D7_1462700	TGME49_246540
OG0000657	PF3D7_1227800	TGME49_305480
OG0000658	PF3D7_1320900	TGME49_268750
OG0000659	PF3D7_1248500	TGME49_203030
OG0000660	PF3D7_1120500	TGME49_315810
OG0000661	PF3D7_0904300	TGME49_214300
OG0000662	PF3D7_1110300	TGME49_278040
OG0000663	PF3D7_1403100	TGME49_255240
OG0000664	PF3D7_0613700	TGME49_240740
OG0000665	PF3D7_0303800	TGME49_235980
OG0000666	PF3D7_0521300	TGME49_232510
OG0000667	PF3D7_1452900	TGME49_248790
OG0000668	PF3D7_0815100	TGME49_225510
OG0000669	PF3D7_0515400	TGME49_282070
OG0000670	PF3D7_1349700	TGME49_285670
OG0000671	PF3D7_1216000	TGME49_271625
OG0000672	PF3D7_1407200	TGME49_253360
OG0000673	PF3D7_0603200	TGME49_243490
OG0000674	PF3D7_1365700	TGME49_301350
OG0000675	PF3D7_0721300	TGME49_251480
OG0000676	PF3D7_0501900	TGME49_257020
OG0000677	PF3D7_0622200	TGME49_273140
OG0000678	PF3D7_1447800	TGME49_293170
OG0000679	PF3D7_1215800	TGME49_255200
OG0000680	PF3D7_1334100	TGME49_211220
OG0000681	PF3D7_1446100	TGME49_225020
OG0000682	PF3D7_1337300	TGME49_237020
OG0000683	PF3D7_0604300	TGME49_312140
OG0000684	PF3D7_1355200	TGME49_306950
OG0000685	PF3D7_0317000	TGME49_216450
OG0000686	PF3D7_1367500	TGME49_262910
OG0000687	PF3D7_1007400	TGME49_214340
OG0000688	PF3D7_0316400	TGME49_274150
OG0000689	PF3D7_0512100	TGME49_294310
OG0000690	PF3D7_0103400	TGME49_265780
OG0000691	PF3D7_1455700	TGME49_230170
OG0000692	PF3D7_0812100	TGME49_242890
OG0000693	PF3D7_1429000	TGME49_299990
OG0000694	PF3D7_0919800	TGME49_262390
OG0000695	PF3D7_1309100	TGME49_244320
OG0000696	PF3D7_1421400	TGME49_217580
OG0000697	PF3D7_1360000	TGME49_290030
OG0000698	PF3D7_1460300	TGME49_234550
OG0000699	PF3D7_0824100	TGME49_273100
OG0000700	PF3D7_0621700	TGME49_286410
OG0000701	PF3D7_1021000	TGME49_288060
OG0000702	PF3D7_0619700	TGME49_310930
OG0000703	PF3D7_0627100	TGME49_261230
OG0000704	PF3D7_1414100	TGME49_245660
OG0000705	PF3D7_1018600	TGME49_234490
OG0000706	PF3D7_0528100	TGME49_240870
OG0000707	PF3D7_1435200	TGME49_264990
OG0000708	PF3D7_1409700	TGME49_300030
OG0000709	PF3D7_1124900	TGME49_250810
OG0000710	PF3D7_1405300	TGME49_213752
OG0000711	PF3D7_1111000	TGME49_222340
OG0000712	PF3D7_0407900	TGME49_312310
OG0000713	PF3D7_1356700	TGME49_273630
OG0000714	PF3D7_1318000	TGME49_254070
OG0000715	PF3D7_0722400	TGME49_214350
OG0000716	PF3D7_1208900	TGME49_289490
OG0000717	PF3D7_0904200	TGME49_273040
OG0000718	PF3D7_1309400	TGME49_291860
OG0000719	PF3D7_0723600	TGME49_245650
OG0000720	PF3D7_1464700	TGME49_259010
OG0000721	PF3D7_0312000	TGME49_248490
OG0000722	PF3D7_0823200	TGME49_321360
OG0000723	PF3D7_1221500	TGME49_254810
OG0000724	PF3D7_0311100	TGME49_311160
OG0000725	PF3D7_1006800	TGME49_262620
OG0000726	PF3D7_0503000	TGME49_209710
OG0000727	PF3D7_1461300	TGME49_209290
OG0000728	PF3D7_0414600	TGME49_249970
OG0000729	PF3D7_1356300	TGME49_235450
OG0000730	PF3D7_1461100	TGME49_318742
OG0000731	PF3D7_0917500	TGME49_223950
OG0000732	PF3D7_0416200	TGME49_270790
OG0000733	PF3D7_0925800	TGME49_246040
OG0000734	PF3D7_1236300	TGME49_294960
OG0000735	PF3D7_0819600	TGME49_248460
OG0000736	PF3D7_1212400	TGME49_243410
OG0000737	PF3D7_1455600	TGME49_260470
OG0000738	PF3D7_1315200	TGME49_209550
OG0000739	PF3D7_0927600	TGME49_309040
OG0000740	PF3D7_1329600	TGME49_226900
OG0000741	PF3D7_1333400	TGME49_242000
OG0000742	PF3D7_1339400	TGME49_242840
OG0000743	PF3D7_0716200	TGME49_294420
OG0000744	PF3D7_1320700	TGME49_202120
OG0000745	PF3D7_1131800	TGME49_264760
OG0000746	PF3D7_1474100	TGME49_293310
OG0000747	PF3D7_1351000	TGME49_289570
OG0000748	PF3D7_1024600	TGME49_269830
OG0000749	PF3D7_1337700	TGME49_200330
OG0000750	PF3D7_1446300	TGME49_254930
OG0000751	PF3D7_1349200	TGME49_263870
OG0000752	PF3D7_0723100	TGME49_266630
OG0000753	PF3D7_1113500	TGME49_255470
OG0000754	PF3D7_0824500	TGME49_253320
OG0000755	PF3D7_1007300	TGME49_291030
OG0000756	PF3D7_0518300	TGME49_290005
OG0000757	PF3D7_1328100	TGME49_306930
OG0000758	PF3D7_0926500	TGME49_265850
OG0000759	PF3D7_0803600	TGME49_311920
OG0000760	PF3D7_0827400	TGME49_275700
OG0000761	PF3D7_1230800	TGME49_212960
OG0000762	PF3D7_1457300	TGME49_286750
OG0000763	PF3D7_1349500	TGME49_242780
OG0000764	PF3D7_1432600	TGME49_301222
OG0000765	PF3D7_1021400	TGME49_290940
OG0000766	PF3D7_1251200	TGME49_216970
OG0000767	PF3D7_1329000	TGME49_306290
OG0000768	PF3D7_0803800	TGME49_280710
OG0000769	PF3D7_0311600	TGME49_202572
OG0000770	PF3D7_1459700	TGME49_249650
OG0000771	PF3D7_1122000	TGME49_246050
OG0000772	PF3D7_1420300	TGME49_260340
OG0000773	PF3D7_1144400	TGME49_233153
OG0000774	PF3D7_1428700	TGME49_254090
OG0000775	PF3D7_1122200	TGME49_226840
OG0000776	PF3D7_0818000	TGME49_264010
OG0000777	PF3D7_1459800	TGME49_255900
OG0000778	PF3D7_0412100	TGME49_219770
OG0000779	PF3D7_1440400	TGME49_242320
OG0000780	PF3D7_0307300	TGME49_227650
OG0000781	PF3D7_0521500	TGME49_263400
OG0000782	PF3D7_1441700	TGME49_257110
OG0000783	PF3D7_1217800	TGME49_255940
OG0000784	PF3D7_0710100	TGME49_209680
OG0000785	PF3D7_1333300	TGME49_289800
OG0000786	PF3D7_0825600	TGME49_286070
OG0000787	PF3D7_0408300	TGME49_219300
OG0000788	PF3D7_0519700	TGME49_297430
OG0000789	PF3D7_1348300	TGME49_268710
OG0000790	PF3D7_1415300	TGME49_217880
OG0000791	PF3D7_1430500	TGME49_273280
OG0000792	PF3D7_0516700	TGME49_263420
OG0000793	PF3D7_1459600	TGME49_301410
OG0000794	PF3D7_1230000	TGME49_216430
OG0000795	PF3D7_1118100	TGME49_270370
OG0000796	PF3D7_1217900	TGME49_311690
OG0000797	PF3D7_0605500	TGME49_290020
OG0000798	PF3D7_0811100	TGME49_202880
OG0000799	PF3D7_1348100	TGME49_277840
OG0000800	PF3D7_1426300	TGME49_254020
OG0000801	PF3D7_1020300	TGME49_277510
OG0000802	PF3D7_0723800	TGME49_277940
OG0000803	PF3D7_1471400	TGME49_202460
OG0000804	PF3D7_0720100	TGME49_221570
OG0000805	PF3D7_1302700	TGME49_295070
OG0000806	PF3D7_1138600	TGME49_239930
OG0000807	PF3D7_0313300	TGME49_213100
OG0000808	PF3D7_1306800	TGME49_249360
OG0000809	PF3D7_0626500	TGME49_264178
OG0000810	PF3D7_1012000	TGME49_236780
OG0000811	PF3D7_0409500	TGME49_304470
OG0000812	PF3D7_0520600	TGME49_214780
OG0000813	PF3D7_0105200	TGME49_237010
OG0000814	PF3D7_1130600	TGME49_223130
OG0000815	PF3D7_0914600	TGME49_297730
OG0000816	PF3D7_0530700	TGME49_294830
OG0000817	PF3D7_1215400	TGME49_225840
OG0000818	PF3D7_1025800	TGME49_263630
OG0000819	PF3D7_1135500	TGME49_259850
OG0000820	PF3D7_0720400	TGME49_207620
OG0000821	PF3D7_1239000	TGME49_311060
OG0000822	PF3D7_0519100	TGME49_225250
OG0000823	PF3D7_0511300	TGME49_319880
OG0000824	PF3D7_0611400	TGME49_248120
OG0000825	PF3D7_0416700	TGME49_255910
OG0000826	PF3D7_0913500	TGME49_251570
OG0000827	PF3D7_1015100	TGME49_207400
OG0000828	PF3D7_0804900	TGME49_273070
OG0000829	PF3D7_0108000	TGME49_314090
OG0000830	PF3D7_0611500	TGME49_246720
OG0000831	PF3D7_0111300	TGME49_270900
OG0000832	PF3D7_1015500	TGME49_281370
OG0000833	PF3D7_0813400	TGME49_320010
OG0000834	PF3D7_0516500	TGME49_266870
OG0000835	PF3D7_0502100	TGME49_217440
OG0000836	PF3D7_1444200	TGME49_206560
OG0000837	PF3D7_0618300	TGME49_310490
OG0000838	PF3D7_0508200	TGME49_283710
OG0000839	PF3D7_1147400	TGME49_294230
OG0000840	PF3D7_0102900	TGME49_202530
OG0000841	PF3D7_0617200	TGME49_232440
OG0000842	PF3D7_1338800	TGME49_266770
OG0000843	PF3D7_1030400	TGME49_306980
OG0000844	PF3D7_1238100	TGME49_305820
OG0000845	PF3D7_1472000	TGME49_203870
OG0000846	PF3D7_0303200	TGME49_230690
OG0000847	PF3D7_1356400	TGME49_200400
OG0000848	PF3D7_0513100	TGME49_269330
OG0000849	PF3D7_1112000	TGME49_245630
OG0000850	PF3D7_0904000	TGME49_226550
OG0000851	PF3D7_0422200	TGME49_279320
OG0000852	PF3D7_0301900	TGME49_289640
OG0000853	PF3D7_1207700	TGME49_268620
OG0000854	PF3D7_1424100	TGME49_320050
OG0000855	PF3D7_0525200	TGME49_309400
OG0000856	PF3D7_0908600	TGME49_263670
OG0000857	PF3D7_1461400	TGME49_313290
OG0000858	PF3D7_1132000	TGME49_240700
OG0000859	PF3D7_1219000	TGME49_206580
OG0000860	PF3D7_1445500	TGME49_252320
OG0000861	PF3D7_0919700	TGME49_318720
OG0000862	PF3D7_1123700	TGME49_201830
OG0000863	PF3D7_1124300	TGME49_264020
OG0000864	PF3D7_0321500	TGME49_246800
OG0000865	PF3D7_0322900	TGME49_232710
OG0000866	PF3D7_0722500	TGME49_270740
OG0000867	PF3D7_1132100	TGME49_274140
OG0000868	PF3D7_0828500	TGME49_211230
OG0000869	PF3D7_0715700	TGME49_225720
OG0000870	PF3D7_1358000	TGME49_231370
OG0000871	PF3D7_0929100	TGME49_212725
OG0000872	PF3D7_1413900	TGME49_226068
OG0000873	PF3D7_0614100	TGME49_285990
OG0000874	PF3D7_1234900	TGME49_213940
OG0000875	PF3D7_0423600	TGME49_288040
OG0000876	PF3D7_1021900	TGME49_255510
OG0000877	PF3D7_1420100	TGME49_244360
OG0000878	PF3D7_1412400	TGME49_256920
OG0000879	PF3D7_0525600	TGME49_216390
OG0000880	PF3D7_1105400	TGME49_207440
OG0000881	PF3D7_1106600	TGME49_203840
OG0000882	PF3D7_1226000	TGME49_206500
OG0000883	PF3D7_0728800	TGME49_276970
OG0000884	PF3D7_0715300	TGME49_262540
OG0000885	PF3D7_1464900	TGME49_300020
OG0000886	PF3D7_0111800	TGME49_315150
OG0000887	PF3D7_0521800	TGME49_217020
OG0000888	PF3D7_1310900	TGME49_216040
OG0000889	PF3D7_1437200	TGME49_294640
OG0000890	PF3D7_0927100	TGME49_258060
OG0000891	PF3D7_1115000	TGME49_316760
OG0000892	PF3D7_1214900	TGME49_241820
OG0000893	PF3D7_0105600	TGME49_278500
OG0000894	PF3D7_0924200	TGME49_207200
OG0000895	PF3D7_0506600	TGME49_257790
OG0000896	PF3D7_0809400	TGME49_215370
OG0000897	PF3D7_1445300	TGME49_310118
OG0000898	PF3D7_1458700	TGME49_215550
OG0000899	PF3D7_1465900	TGME49_232300
OG0000900	PF3D7_1205000	TGME49_202250
OG0000901	PF3D7_0309300	TGME49_241150
OG0000902	PF3D7_1353900	TGME49_258150
OG0000903	PF3D7_1366300	TGME49_226660
OG0000904	PF3D7_0403700	TGME49_269200
OG0000905	PF3D7_0411200	TGME49_215100
OG0000906	PF3D7_1402400	TGME49_221980
OG0000907	PF3D7_1344300	TGME49_202840
OG0000908	PF3D7_0807000	TGME49_215730
OG0000909	PF3D7_0704400	TGME49_228400
OG0000910	PF3D7_1005500	TGME49_291820
OG0000911	PF3D7_0612300	TGME49_287200
OG0000912	PF3D7_1240000	TGME49_224090
OG0000913	PF3D7_1325100	TGME49_220100
OG0000914	PF3D7_0813100	TGME49_251840
OG0000915	PF3D7_1140900	TGME49_222660
OG0000916	PF3D7_1402000	TGME49_260430
OG0000917	PF3D7_1012500	TGME49_318580
OG0000918	PF3D7_1448500	TGME49_228120
OG0000919	PF3D7_1416700	TGME49_205070
OG0000920	PF3D7_1201500	TGME49_285720
OG0000921	PF3D7_0419600	TGME49_293340
OG0000922	PF3D7_1115100	TGME49_262090
OG0000923	PF3D7_0209700	TGME49_313870
OG0000924	PF3D7_1323100	TGME49_284560
OG0000925	PF3D7_1017200	TGME49_294190
OG0000926	PF3D7_1141700	TGME49_243510
OG0000927	PF3D7_1314800	TGME49_262160
OG0000928	PF3D7_0110400	TGME49_202690
OG0000929	PF3D7_1117500	TGME49_273410
OG0000930	PF3D7_0926900	TGME49_292160
OG0000931	PF3D7_0417500	TGME49_227840
OG0000932	PF3D7_1368700	TGME49_248950
OG0000933	PF3D7_0524900	TGME49_272270
OG0000934	PF3D7_1403400	TGME49_267875
OG0000935	PF3D7_1034100	TGME49_319690
OG0000936	PF3D7_0728600	TGME49_223880
OG0000937	PF3D7_0922300	TGME49_319680
OG0000938	PF3D7_1366800	TGME49_261480
OG0000939	PF3D7_1313600	TGME49_240380
OG0000940	PF3D7_1034200	TGME49_293600
OG0000941	PF3D7_1455900	TGME49_272180
OG0000942	PF3D7_1330700	TGME49_275568
OG0000943	PF3D7_0916200	TGME49_304910
OG0000944	PF3D7_0305700	TGME49_310040
OG0000945	PF3D7_1245800	TGME49_214180
OG0000946	PF3D7_0916000	TGME49_258700
OG0000947	PF3D7_1218600	TGME49_210840
OG0000948	PF3D7_0817600	TGME49_253600
OG0000949	PF3D7_1029400	TGME49_247380
OG0000950	PF3D7_1419900	TGME49_201200
OG0000951	PF3D7_1234300	TGME49_280690
OG0000952	PF3D7_0209400	TGME49_313150
OG0000953	PF3D7_1011300	TGME49_231030
OG0000954	PF3D7_0502700	TGME49_309790
OG0000955	PF3D7_1033800	TGME49_272510
OG0000956	PF3D7_0525300	TGME49_260810
OG0000957	PF3D7_1202600	TGME49_214090
OG0000958	PF3D7_1420900	TGME49_257960
OG0000959	PF3D7_0728700	TGME49_261500
OG0000960	PF3D7_0415900	TGME49_228470
OG0000961	PF3D7_0415400	TGME49_280550
OG0000962	PF3D7_1332700	TGME49_295010
OG0000963	PF3D7_0705500	TGME49_238400
OG0000964	PF3D7_0316800	TGME49_234450
OG0000965	PF3D7_0911100	TGME49_252430
OG0000966	PF3D7_1311200	TGME49_290850
OG0000967	PF3D7_1416900	TGME49_293580
OG0000968	PF3D7_1441200	TGME49_215470
OG0000969	PF3D7_1108700	TGME49_204480
OG0000970	PF3D7_0302700	TGME49_260870
OG0000971	PF3D7_0406800	TGME49_314295
OG0000972	PF3D7_1244000	TGME49_242010
OG0000973	PF3D7_1142100	TGME49_210430
OG0000974	PF3D7_0624200	TGME49_271290
OG0000975	PF3D7_0919100	TGME49_267430
OG0000976	PF3D7_1018300	TGME49_234220
OG0000977	PF3D7_0306900	TGME49_229670
OG0000978	PF3D7_0615800	TGME49_212150
OG0000979	PF3D7_1361800	TGME49_312630
OG0000980	PF3D7_0817200	TGME49_207040
OG0000981	PF3D7_1221300	TGME49_209200
OG0000982	PF3D7_0105500	TGME49_215020
OG0000983	PF3D7_1207100	TGME49_271100
OG0000984	PF3D7_1034000	TGME49_213072
OG0000985	PF3D7_0622400	TGME49_222390
OG0000986	PF3D7_1238600	TGME49_249030
OG0000987	PF3D7_1206700	TGME49_244650
OG0000988	PF3D7_0914400	TGME49_265420
OG0000989	PF3D7_1429700	TGME49_253800
OG0000990	PF3D7_1012300	TGME49_288750
