Orthogroup	Cvulgaris	creidhartii
OG0000760	augustus_masked_Scaffold_6-abinit-gene-0.13-mRNA-1 protein AED_0.18 eAED_0.18 QI_9|0.66|0.5|0.75|1|1|4|0|161	CRv4_Au5_s12_g3757_t1
OG0000761	maker_Scaffold_6-augustus-gene-0.216-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|0.76|0.57|1|0.92|0.85|14|0|875	CRv4_Au5_s12_g3819_t1
OG0000762	maker_Scaffold_6-augustus-gene-0.215-mRNA-1 protein AED_0.23 eAED_0.23 QI_0|0|0|0.66|0.4|0.33|6|0|341	CRv4_Au5_s3_g10747_t1
OG0000763	maker_Scaffold_6-augustus-gene-0.209-mRNA-1 protein AED_0.28 eAED_0.28 QI_0|0.5|0.36|0.54|0.9|0.90|11|0|433	CRv4_Au5_s6_g13452_t1
OG0000764	genemark_Scaffold_6-abinit-gene-0.61-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|1|0.5|1|1|1|2|0|148	CRv4_Au5_s6_g13347_t1
OG0000765	genemark_Scaffold_6-abinit-gene-0.39-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.33|0.25|0.81|1|1|16|0|782	CRv4_Au5_s10_g158_t1
OG0000766	genemark_Scaffold_6-abinit-gene-0.62-mRNA-1 protein AED_0.69 eAED_0.69 QI_0|0|0|0.2|1|1|5|0|195	CRv4_Au5_s1_g1868_t1
OG0000767	maker_Scaffold_141-snap-gene-0.156-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|1|0|1|1|0.5|2|0|219	CRv4_Au5_s13_g4687_t1
OG0000768	genemark_Scaffold_141-abinit-gene-0.32-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0.33|0.2|0.8|1|1|10|0|857	CRv4_Au5_s7_g14130_t1
OG0000769	maker_Scaffold_141-augustus-gene-0.143-mRNA-1 protein AED_0.12 eAED_0.13 QI_55|0.92|0.85|0.92|1|1|14|0|445	CRv4_Au5_s2_g9265_t1
OG0000770	genemark_Scaffold_141-abinit-gene-0.24-mRNA-1 protein AED_0.21 eAED_0.21 QI_0|0.66|0.6|0.8|1|1|10|0|403	CRv4_Au5_s1_g2128_t1
OG0000771	genemark_Scaffold_141-abinit-gene-0.30-mRNA-1 protein AED_0.25 eAED_0.29 QI_0|0.11|0.1|0.6|1|1|10|0|839	CRv4_Au5_s8_g14850_t1
OG0000772	maker_Scaffold_141-augustus-gene-0.146-mRNA-1 protein AED_0.56 eAED_0.56 QI_0|0|0|0.36|0.94|0.94|19|0|820	CRv4_Au5_s7_g14108_t1
OG0000773	maker_Scaffold_141-snap-gene-0.168-mRNA-1 protein AED_0.05 eAED_0.05 QI_0|1|0.77|1|0.87|0.77|9|0|848	CRv4_Au5_s3_g10208_t1
OG0000774	genemark_Scaffold_141-abinit-gene-0.31-mRNA-1 protein AED_0.09 eAED_0.10 QI_0|0.87|0.66|1|1|1|9|0|582	CRv4_Au5_s12_g3296_t1
OG0000775	maker_Scaffold_141-snap-gene-0.164-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|1|0.5|1|1|1|4|0|387	CRv4_Au5_s12_g3155_t1
OG0000776	augustus_masked_Scaffold_141-abinit-gene-0.10-mRNA-1 protein AED_0.22 eAED_0.23 QI_0|0.44|0.4|0.5|1|1|10|0|312	CRv4_Au5_s3_g11353_t1
OG0000777	maker_Scaffold_141-snap-gene-0.167-mRNA-1 protein AED_0.22 eAED_0.22 QI_0|1|0.5|1|0.66|0.75|4|0|147	CRv4_Au5_s4_g11595_t1
OG0000778	maker_Scaffold_141-snap-gene-0.165-mRNA-1 protein AED_0.28 eAED_0.29 QI_0|0.66|0.25|0.75|0.66|0.75|4|0|265	CRv4_Au5_s17_g7867_t1
OG0000779	augustus_masked_Scaffold_875-abinit-gene-0.6-mRNA-1 protein AED_0.05 eAED_0.05 QI_0|0|0|0.5|1|1|2|0|126	CRv4_Au5_s1_g2378_t1
OG0000780	genemark_Scaffold_875-abinit-gene-0.57-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0.5|0.2|0.8|1|1|5|0|306	CRv4_Au5_s3_g11261_t1
OG0000781	genemark_Scaffold_875-abinit-gene-0.50-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0|0|0.66|1|1|3|0|393	CRv4_Au5_s14_g5552_t1
OG0000782	genemark_Scaffold_875-abinit-gene-0.68-mRNA-1 protein AED_0.08 eAED_0.11 QI_0|0.66|0.25|0.75|1|1|4|0|194	CRv4_Au5_s6_g12791_t1
OG0000783	maker_Scaffold_875-augustus-gene-0.215-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0.8|0.66|0.83|1|1|6|0|416	CRv4_Au5_s9_g15418_t1
OG0000784	genemark_Scaffold_875-abinit-gene-0.51-mRNA-1 protein AED_0.12 eAED_0.12 QI_92|0.75|1|1|1|1|5|134|127	CRv4_Au5_s11_g2439_t1
OG0000785	augustus_masked_Scaffold_875-abinit-gene-0.20-mRNA-1 protein AED_0.15 eAED_0.16 QI_0|1|0.66|1|1|1|6|0|298	CRv4_Au5_s12_g3172_t1
OG0000786	genemark_Scaffold_875-abinit-gene-0.38-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|0.75|0.44|1|1|1|9|0|908	CRv4_Au5_s9_g15748_t1
OG0000787	maker_Scaffold_875-snap-gene-0.238-mRNA-1 protein AED_0.14 eAED_0.18 QI_0|0.58|0.46|1|0.66|0.76|13|0|871	CRv4_Au5_s16_g6387_t1
OG0000788	genemark_Scaffold_875-abinit-gene-0.55-mRNA-1 protein AED_0.56 eAED_0.56 QI_0|0.33|0|0.75|1|1|4|0|153	CRv4_Au5_s20_g8210_t1
OG0000789	augustus_masked_Scaffold_875-abinit-gene-0.18-mRNA-1 protein AED_0.57 eAED_0.57 QI_0|0|0|0.08|1|1|12|0|540	CRv4_Au5_s1_g1033_t1
OG0000790	maker_Scaffold_875-augustus-gene-0.226-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|0.87|0.66|1|1|1|9|0|625	CRv4_Au5_s16_g6312_t1
OG0000791	genemark_Scaffold_875-abinit-gene-0.66-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0.85|0.73|0.86|1|1|15|0|832	CRv4_Au5_s16_g6522_t1
OG0000792	maker_Scaffold_875-augustus-gene-0.232-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|1|0.75|1|1|1|8|0|444	CRv4_Au5_s16_g6444_t1
OG0000793	genemark_Scaffold_875-abinit-gene-0.56-mRNA-1 protein AED_0.11 eAED_0.12 QI_0|0.7|0.54|0.81|1|1|11|0|580	CRv4_Au5_s6_g12907_t1
OG0000794	maker_Scaffold_875-augustus-gene-0.227-mRNA-1 protein AED_0.21 eAED_0.21 QI_0|0.66|0.5|1|1|1|4|0|316	CRv4_Au5_s3_g10171_t1
OG0000795	maker_Scaffold_459-snap-gene-0.187-mRNA-1 protein AED_0.06 eAED_0.06 QI_12|0.88|0.9|1|1|0.9|10|0|655	CRv4_Au5_s12_g3663_t1
OG0000796	maker_Scaffold_459-snap-gene-0.192-mRNA-1 protein AED_0.03 eAED_0.03 QI_0|0.66|0.5|1|0.66|0.5|4|0|218	CRv4_Au5_s12_g4221_t1
OG0000797	maker_Scaffold_459-augustus-gene-0.164-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0.8|0.66|0.83|1|1|6|422|216	CRv4_Au5_s2_g8827_t1
OG0000798	maker_Scaffold_459-augustus-gene-0.165-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|1|0.81|1|1|0.90|11|0|848	CRv4_Au5_s12_g3300_t1
OG0000799	genemark_Scaffold_459-abinit-gene-0.32-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0.21|0.15|0.75|1|1|20|0|1539	CRv4_Au5_s1_g1977_t1
OG0000800	maker_Scaffold_459-snap-gene-0.191-mRNA-1 protein AED_0.26 eAED_0.27 QI_0|0.5|0.2|1|0.25|0.2|5|0|429	CRv4_Au5_s10_g789_t1
OG0000801	maker_Scaffold_459-augustus-gene-0.181-mRNA-1 protein AED_0.03 eAED_0.03 QI_292|0.83|0.85|1|0.83|0.85|7|200|500	CRv4_Au5_s13_g4823_t1
OG0000802	genemark_Scaffold_459-abinit-gene-0.30-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.25|0|0.8|1|1|5|0|800	CRv4_Au5_s1_g2162_t1
OG0000803	maker_Scaffold_459-augustus-gene-0.179-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.75|0.6|1|1|1|5|0|163	CRv4_Au5_s1_g2010_t1
OG0000804	maker_Scaffold_459-snap-gene-0.207-mRNA-1 protein AED_0.10 eAED_0.10 QI_0|0|0|1|0|0.5|2|0|380	CRv4_Au5_s3_g10641_t1
OG0000805	genemark_Scaffold_459-abinit-gene-0.35-mRNA-1 protein AED_0.16 eAED_0.16 QI_21|0.83|0.57|1|1|1|7|0|358	CRv4_Au5_s12_g2818_t1
OG0000806	maker_Scaffold_459-augustus-gene-0.182-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|0.8|0.5|0.83|0.8|0.83|6|0|408	CRv4_Au5_s12_g2824_t1
OG0000807	maker_Scaffold_459-augustus-gene-0.173-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|0.8|0.33|1|0.8|0.66|6|0|335	CRv4_Au5_s7_g13690_t1
OG0000808	maker_Scaffold_459-augustus-gene-0.176-mRNA-1 protein AED_0.14 eAED_0.15 QI_0|0.41|0.53|0.92|0.83|0.76|13|0|527	CRv4_Au5_s65_g13657_t1
OG0000809	maker_Scaffold_459-augustus-gene-0.172-mRNA-1 protein AED_0.31 eAED_0.31 QI_0|0.4|0.16|0.5|1|1|6|0|182	CRv4_Au5_s12_g3755_t1
OG0000810	maker_Scaffold_459-snap-gene-0.212-mRNA-1 protein AED_0.07 eAED_0.27 QI_63|0.7|0.72|1|0.1|0.18|11|0|368	CRv4_Au5_s13_g4589_t1
OG0000811	maker_Scaffold_459-snap-gene-0.211-mRNA-1 protein AED_0.14 eAED_0.40 QI_0|1|0|1|0|0.5|2|0|224	CRv4_Au5_s12_g3014_t1
OG0000812	genemark_Scaffold_208-abinit-gene-0.40-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|1|0.75|1|1|1|4|0|211	CRv4_Au5_s3_g11004_t1
OG0000813	maker_Scaffold_208-augustus-gene-0.138-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|0.85|0.62|1|1|1|8|0|464	CRv4_Au5_s2_g9132_t1
OG0000814	maker_Scaffold_208-augustus-gene-0.142-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|0.8|0.66|1|1|1|6|0|550	CRv4_Au5_s12_g3716_t1
OG0000815	maker_Scaffold_208-augustus-gene-0.144-mRNA-1 protein AED_0.23 eAED_0.23 QI_31|1|0.33|1|1|0.66|3|0|271	CRv4_Au5_s3_g10689_t1
OG0000816	maker_Scaffold_208-augustus-gene-0.137-mRNA-1 protein AED_0.48 eAED_0.48 QI_0|0.4|0.16|0.5|1|1|6|0|502	CRv4_Au5_s9_g15219_t1
OG0000817	maker_Scaffold_208-augustus-gene-0.156-mRNA-1 protein AED_0.07 eAED_0.07 QI_70|1|1|1|1|1|4|0|367	CRv4_Au5_s2_g9754_t1
OG0000818	maker_Scaffold_208-snap-gene-0.172-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0.90|0.83|1|0.90|0.91|12|36|758	CRv4_Au5_s5_g12076_t1
OG0000819	maker_Scaffold_208-augustus-gene-0.152-mRNA-1 protein AED_0.15 eAED_0.17 QI_0|0|0|0.81|0.9|0.90|11|0|789	CRv4_Au5_s3_g11298_t1
OG0000820	maker_Scaffold_77-snap-gene-0.233-mRNA-1 protein AED_0.07 eAED_0.08 QI_0|1|0.75|1|0.85|0.75|8|0|443	CRv4_Au5_s8_g15006_t1
OG0000821	genemark_Scaffold_77-abinit-gene-0.48-mRNA-1 protein AED_0.09 eAED_0.10 QI_0|0.87|0.82|1|1|1|17|0|741	CRv4_Au5_s18_g7971_t1
OG0000822	genemark_Scaffold_77-abinit-gene-0.63-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|0.5|0|0.66|1|1|3|0|147	CRv4_Au5_s10_g255_t1
OG0000823	maker_Scaffold_77-augustus-gene-0.208-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0.5|0.4|1|1|0.8|5|0|230	CRv4_Au5_s6_g12760_t1
OG0000824	maker_Scaffold_77-augustus-gene-0.219-mRNA-1 protein AED_0.10 eAED_0.11 QI_0|0.83|0.42|1|0.83|0.85|7|0|508	CRv4_Au5_s16_g6372_t1
OG0000825	maker_Scaffold_77-snap-gene-0.238-mRNA-1 protein AED_0.01 eAED_0.01 QI_42|1|1|1|1|1|7|0|299	CRv4_Au5_s12_g3844_t1
OG0000826	genemark_Scaffold_77-abinit-gene-0.64-mRNA-1 protein AED_0.10 eAED_0.10 QI_0|0.33|0|0.5|1|1|4|0|96	CRv4_Au5_s10_g531_t1
OG0000827	maker_Scaffold_77-snap-gene-0.242-mRNA-1 protein AED_0.12 eAED_0.16 QI_0|0.59|0.56|1|0.68|0.60|23|0|1004	CRv4_Au5_s2_g9199_t1
OG0000828	maker_Scaffold_76-augustus-gene-0.237-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.8|0.5|0.83|1|1|6|0|209	CRv4_Au5_s5_g12069_t1
OG0000829	genemark_Scaffold_76-abinit-gene-0.58-mRNA-1 protein AED_0.11 eAED_0.14 QI_0|0.5|0.14|0.71|1|1|7|0|293	CRv4_Au5_s6_g12769_t1
OG0000830	maker_Scaffold_76-augustus-gene-0.241-mRNA-1 protein AED_0.10 eAED_0.10 QI_0|1|0.5|1|1|1|4|0|171	CRv4_Au5_s6_g12545_t1
OG0000831	genemark_Scaffold_76-abinit-gene-0.49-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|1|0|1|1|1|2|0|284	CRv4_Au5_s1_g1260_t1
OG0000832	genemark_Scaffold_76-abinit-gene-0.48-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|0.5|0.22|1|1|1|9|0|815	CRv4_Au5_s6_g12941_t1
OG0000833	maker_Scaffold_76-augustus-gene-0.228-mRNA-1 protein AED_0.20 eAED_0.21 QI_0|0.83|0.85|1|1|1|7|0|178	CRv4_Au5_s6_g12635_t1
OG0000834	maker_Scaffold_76-augustus-gene-0.229-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0.84|0.74|0.96|0.96|0.92|27|0|1491	CRv4_Au5_s6_g12620_t1
OG0000835	maker_Scaffold_76-augustus-gene-0.248-mRNA-1 protein AED_0.23 eAED_0.24 QI_0|0.66|0.42|0.71|1|0.85|7|0|404	CRv4_Au5_s5_g12204_t1
OG0000836	genemark_Scaffold_76-abinit-gene-0.60-mRNA-1 protein AED_0.35 eAED_0.35 QI_0|0.5|0.44|0.66|1|1|9|0|376	CRv4_Au5_s6_g12391_t1
OG0000837	genemark_Scaffold_76-abinit-gene-0.35-mRNA-1 protein AED_0.22 eAED_0.30 QI_0|0.23|0.07|0.85|1|1|14|0|1514	CRv4_Au5_s6_g12874_t1
OG0000838	maker_Scaffold_76-augustus-gene-0.259-mRNA-1 protein AED_0.02 eAED_0.03 QI_0|1|0.5|1|1|1|4|0|238	CRv4_Au5_s16_g6494_t1
OG0000839	maker_Scaffold_76-augustus-gene-0.256-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0.85|0.62|1|0.57|0.62|8|0|396	CRv4_Au5_s11_g2640_t1
OG0000840	maker_Scaffold_76-augustus-gene-0.258-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|1|0.66|1|1|1|3|0|255	CRv4_Au5_s7_g14223_t1
OG0000841	maker_Scaffold_76-augustus-gene-0.250-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0.5|0|0.8|1|1|5|0|362	CRv4_Au5_s6_g12752_t1
OG0000842	genemark_Scaffold_76-abinit-gene-0.46-mRNA-1 protein AED_0.15 eAED_0.16 QI_0|0.8|0.5|1|1|1|6|0|454	CRv4_Au5_s17_g7718_t1
OG0000843	maker_Scaffold_76-snap-gene-0.289-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|0.78|0.6|1|0.78|0.73|15|0|831	CRv4_Au5_s13_g5046_t1
OG0000844	genemark_Scaffold_76-abinit-gene-0.54-mRNA-1 protein AED_0.10 eAED_0.11 QI_0|0.4|0.33|0.66|1|1|6|0|487	CRv4_Au5_s38_g11494_t1
OG0000845	maker_Scaffold_76-snap-gene-0.288-mRNA-1 protein AED_0.35 eAED_0.35 QI_0|0.66|0.6|1|0.88|0.8|10|0|363	CRv4_Au5_s1_g1703_t1
OG0000846	maker_Scaffold_888-augustus-gene-0.206-mRNA-1 protein AED_0.01 eAED_0.01 QI_0|1|0.75|1|0|0|4|0|107	CRv4_Au5_s18_g7960_t1
OG0000847	maker_Scaffold_888-augustus-gene-0.193-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|1|0.33|1|1|1|3|0|194	CRv4_Au5_s6_g12984_t1
OG0000848	genemark_Scaffold_888-abinit-gene-0.51-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|1|0.5|1|1|1|4|0|472	CRv4_Au5_s8_g14774_t1
OG0000849	maker_Scaffold_888-augustus-gene-0.191-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0.75|0.55|1|0.75|0.77|9|0|411	CRv4_Au5_s2_g9254_t1
OG0000850	genemark_Scaffold_888-abinit-gene-0.36-mRNA-1 protein AED_0.29 eAED_0.31 QI_0|0.66|0.5|1|1|1|4|0|249	CRv4_Au5_s18_g7992_t1
OG0000851	genemark_Scaffold_888-abinit-gene-0.47-mRNA-1 protein AED_0.27 eAED_0.28 QI_0|0.16|0.07|0.53|1|1|13|0|685	CRv4_Au5_s6_g13324_t1
OG0000852	maker_Scaffold_888-augustus-gene-0.195-mRNA-1 protein AED_0.38 eAED_0.38 QI_0|1|0.5|1|1|1|4|0|338	CRv4_Au5_s12_g4182_t1
OG0000853	genemark_Scaffold_888-abinit-gene-0.66-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.5|0.33|1|1|1|3|0|167	CRv4_Au5_s7_g14466_t1
OG0000854	maker_Scaffold_888-snap-gene-0.240-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|0.75|0.2|1|0.5|0.8|5|0|449	CRv4_Au5_s2_g9567_t1
OG0000855	maker_Scaffold_888-augustus-gene-0.216-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|0.75|0.4|1|1|1|5|0|179	CRv4_Au5_s8_g14684_t1
OG0000856	maker_Scaffold_888-augustus-gene-0.221-mRNA-1 protein AED_0.20 eAED_0.20 QI_0|0.66|0.68|0.81|0.93|0.93|16|0|905	CRv4_Au5_s10_g69_t1
OG0000857	maker_Scaffold_888-augustus-gene-0.222-mRNA-1 protein AED_0.23 eAED_0.23 QI_0|0.8|0.5|0.83|1|1|6|0|241	CRv4_Au5_s17_g7409_t1
OG0000858	genemark_Scaffold_888-abinit-gene-0.64-mRNA-1 protein AED_0.20 eAED_0.21 QI_0|0.69|0.57|0.85|1|1|14|0|700	CRv4_Au5_s20_g8268_t1
OG0000859	maker_Scaffold_65-augustus-gene-0.263-mRNA-1 protein AED_0.02 eAED_0.03 QI_0|0.88|0.7|1|1|0.9|10|0|662	CRv4_Au5_s16_g6355_t1
OG0000860	maker_Scaffold_65-snap-gene-0.296-mRNA-1 protein AED_0.05 eAED_0.05 QI_28|1|1|1|1|1|6|114|293	CRv4_Au5_s6_g12966_t1
OG0000861	maker_Scaffold_65-augustus-gene-0.253-mRNA-1 protein AED_0.10 eAED_0.11 QI_14|1|0.81|1|1|1|11|0|811	CRv4_Au5_s18_g8011_t1
OG0000862	maker_Scaffold_65-augustus-gene-0.269-mRNA-1 protein AED_0.08 eAED_0.11 QI_0|1|0.33|1|0.5|0.66|3|0|221	CRv4_Au5_s2_g8930_t1
OG0000863	snap_masked_Scaffold_65-abinit-gene-0.159-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|1|0.5|1|1|1|2|0|363	CRv4_Au5_s6_g13633_t1
OG0000864	genemark_Scaffold_65-abinit-gene-0.51-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|1|1|1|1|1|3|0|212	CRv4_Au5_s10_g694_t1
OG0000865	maker_Scaffold_65-augustus-gene-0.273-mRNA-1 protein AED_0.15 eAED_0.16 QI_0|1|0.5|1|1|1|4|0|231	CRv4_Au5_s7_g14173_t1
OG0000866	maker_Scaffold_65-augustus-gene-0.278-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|0.87|0.77|1|1|1|9|105|414	CRv4_Au5_s23_g9893_t1
OG0000867	maker_Scaffold_65-augustus-gene-0.251-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|1|0.85|1|1|1|14|0|1100	CRv4_Au5_s10_g955_t1
OG0000868	genemark_Scaffold_65-abinit-gene-0.63-mRNA-1 protein AED_0.17 eAED_0.21 QI_0|0.2|0|0.66|1|1|6|0|261	CRv4_Au5_s13_g4506_t1
OG0000869	maker_Scaffold_65-snap-gene-0.298-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0.80|0.72|0.95|0.85|0.86|22|0|1150	CRv4_Au5_s7_g13877_t1
OG0000870	maker_Scaffold_65-snap-gene-0.305-mRNA-1 protein AED_0.34 eAED_0.34 QI_0|0.85|0.62|0.87|0.85|0.87|8|0|443	CRv4_Au5_s1_g1124_t1
OG0000871	augustus_masked_Scaffold_65-abinit-gene-0.30-mRNA-1 protein AED_0.39 eAED_0.40 QI_0|0.13|0|0.31|1|1|16|0|546	CRv4_Au5_s4_g11592_t1
OG0000872	maker_Scaffold_65-augustus-gene-0.283-mRNA-1 protein AED_0.03 eAED_0.03 QI_0|1|1|1|1|1|5|106|149	CRv4_Au5_s2_g8856_t1
OG0000873	maker_Scaffold_65-augustus-gene-0.280-mRNA-1 protein AED_0.02 eAED_0.03 QI_0|1|0.5|1|1|1|4|0|390	CRv4_Au5_s6_g13301_t1
OG0000874	maker_Scaffold_65-snap-gene-0.308-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|1|0.66|1|0.8|0.83|6|0|398	CRv4_Au5_s1_g1924_t1
OG0000875	genemark_Scaffold_65-abinit-gene-0.49-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0.66|0.5|1|1|1|4|0|210	CRv4_Au5_s9_g15346_t1
OG0000876	maker_Scaffold_65-snap-gene-0.312-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.57|0.37|1|0.42|0.5|8|0|474	CRv4_Au5_s10_g596_t1
OG0000877	maker_Scaffold_65-augustus-gene-0.293-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|0.88|0.7|0.9|1|1|10|0|542	CRv4_Au5_s4_g11760_t1
OG0000878	maker_Scaffold_65-snap-gene-0.314-mRNA-1 protein AED_0.09 eAED_0.09 QI_52|0.71|0.37|1|0.71|0.5|8|0|825	CRv4_Au5_s13_g4468_t1
OG0000879	maker_Scaffold_65-augustus-gene-0.290-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|0.45|0.41|0.83|0.90|0.91|12|0|710	CRv4_Au5_s15_g5874_t1
OG0000880	genemark_Scaffold_65-abinit-gene-0.73-mRNA-1 protein AED_0.38 eAED_0.38 QI_0|0|0|0.16|1|1|12|0|592	CRv4_Au5_s17_g7366_t1
OG0000881	genemark_Scaffold_89-abinit-gene-0.34-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.83|0.57|1|1|1|7|0|544	CRv4_Au5_s3_g10685_t1
OG0000882	genemark_Scaffold_89-abinit-gene-0.25-mRNA-1 protein AED_0.05 eAED_0.06 QI_0|0.54|0.41|0.83|1|1|12|0|818	CRv4_Au5_s10_g478_t1
OG0000883	genemark_Scaffold_89-abinit-gene-0.38-mRNA-1 protein AED_0.10 eAED_0.10 QI_66|0.85|0.75|1|1|1|8|0|606	CRv4_Au5_s2_g9295_t1
OG0000884	genemark_Scaffold_89-abinit-gene-0.37-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0.61|0.5|0.85|1|1|14|0|831	CRv4_Au5_s9_g15780_t1
OG0000885	maker_Scaffold_89-augustus-gene-0.156-mRNA-1 protein AED_0.02 eAED_0.02 QI_0|1|0.33|1|0.5|0.33|3|0|186	CRv4_Au5_s13_g4976_t1
OG0000886	maker_Scaffold_89-snap-gene-0.168-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|0.83|0.42|0.85|0.83|0.71|7|0|803	CRv4_Au5_s1_g1589_t1
OG0000887	maker_Scaffold_89-snap-gene-0.166-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.88|0.6|1|0.77|0.9|10|0|617	CRv4_Au5_s2_g9327_t1
OG0000888	maker_Scaffold_89-snap-gene-0.169-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|0.66|0.25|0.75|0|0|4|0|151	CRv4_Au5_s12_g3619_t1
OG0000889	maker_Scaffold_89-augustus-gene-0.152-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.75|0.66|0.88|0.75|0.77|9|0|328	CRv4_Au5_s17_g7267_t1
OG0000890	genemark_Scaffold_89-abinit-gene-0.32-mRNA-1 protein AED_0.25 eAED_0.27 QI_0|0.35|0.16|0.61|1|1|18|0|1788	CRv4_Au5_s13_g4404_t1
OG0000891	maker_Scaffold_89-augustus-gene-0.160-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.4|0.16|0.5|1|1|6|0|279	CRv4_Au5_s13_g4802_t1
OG0000892	maker_Scaffold_89-augustus-gene-1.257-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.66|0.5|0.75|1|1|4|0|131	CRv4_Au5_s3_g11338_t1
OG0000893	maker_Scaffold_89-augustus-gene-1.259-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|1|0.5|1|1|1|4|0|299	CRv4_Au5_s10_g7_t1
OG0000894	maker_Scaffold_89-snap-gene-1.302-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0.8|0.83|1|0.8|0.83|6|0|377	CRv4_Au5_s4_g11616_t1
OG0000895	maker_Scaffold_89-snap-gene-1.291-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|0.87|0.77|1|1|1|9|12|608	CRv4_Au5_s12_g3601_t1
OG0000896	maker_Scaffold_89-augustus-gene-1.253-mRNA-1 protein AED_0.19 eAED_0.20 QI_0|0.66|0.57|0.85|0.83|0.71|7|0|288	CRv4_Au5_s14_g5398_t1
OG0000897	genemark_Scaffold_89-abinit-gene-1.73-mRNA-1 protein AED_0.22 eAED_0.22 QI_0|0.33|0.25|0.75|1|1|4|0|138	CRv4_Au5_s12_g3381_t1
OG0000898	genemark_Scaffold_89-abinit-gene-1.50-mRNA-1 protein AED_0.13 eAED_0.15 QI_0|0.5|0.36|0.89|1|1|19|0|1321	CRv4_Au5_s12_g3913_t1
OG0000899	maker_Scaffold_89-augustus-gene-1.265-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|0.85|0.62|1|1|1|8|0|370	CRv4_Au5_s9_g15660_t1
OG0000900	maker_Scaffold_89-augustus-gene-1.250-mRNA-1 protein AED_0.25 eAED_0.25 QI_0|0.6|0.5|0.81|0.93|0.93|16|0|670	CRv4_Au5_s10_g609_t1
OG0000901	maker_Scaffold_89-augustus-gene-1.262-mRNA-1 protein AED_0.32 eAED_0.32 QI_0|0.66|0.5|0.7|1|0.9|10|0|471	CRv4_Au5_s9_g15791_t1
OG0000902	maker_Scaffold_89-snap-gene-1.303-mRNA-1 protein AED_0.28 eAED_0.33 QI_0|0.85|0.76|0.95|0.9|0.90|21|0|1107	CRv4_Au5_s2_g9171_t1
