Orthogroup	creidhartii	Cvulgaris
OG0000448	CRv4_Au5_s12_g3651_t2, CRv4_Au5_s12_g3651_t1	genemark_Scaffold_678-abinit-gene-0.18-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.5|0|1|1|1|3|0|353
OG0000449	CRv4_Au5_s4_g11825_t1	maker_Scaffold_230-augustus-gene-0.75-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|0.66|0.6|0.9|1|1|10|0|380, genemark_Scaffold_36-abinit-gene-0.3-mRNA-1 protein AED_0.21 eAED_0.24 QI_0|0.45|0.33|0.83|1|1|12|0|366
OG0000450	CRv4_Au5_s2_g9592_t2, CRv4_Au5_s2_g9592_t1	genemark_Scaffold_62-abinit-gene-0.19-mRNA-1 protein AED_0.18 eAED_0.19 QI_0|0|0|0.72|1|1|37|0|2742
OG0000451	CRv4_Au5_s3_g10852_t1	maker_Scaffold_598-augustus-gene-0.68-mRNA-1 protein AED_0.16 eAED_0.17 QI_30|0.85|0.73|0.93|1|1|15|0|470, maker_Scaffold_597-augustus-gene-0.44-mRNA-1 protein AED_0.27 eAED_0.27 QI_0|0.71|0.6|0.8|1|1|15|0|743
OG0000452	CRv4_Au5_s12_g4009_t1	maker_Scaffold_1351-augustus-gene-0.56-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.75|0.4|1|1|1|5|0|277, maker_Scaffold_131-augustus-gene-0.54-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.58|0.44|0.77|0.94|0.94|18|0|723
OG0000453	CRv4_Au5_s12_g3070_t2, CRv4_Au5_s12_g3070_t1	maker_Scaffold_1475-augustus-gene-0.72-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|1|1|1|0.75|0.8|5|0|194
OG0000454	CRv4_Au5_s14_g5487_t2, CRv4_Au5_s14_g5487_t1	maker_Scaffold_657-augustus-gene-0.68-mRNA-1 protein AED_0.08 eAED_0.09 QI_0|0.66|0.42|0.71|1|1|7|0|337
OG0000455	CRv4_Au5_s18_g8009_t1	augustus_masked_Scaffold_328-abinit-gene-0.1-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|1|1|1|1|1|8|0|314, maker_Scaffold_1980-augustus-gene-0.4-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|1|0.85|1|1|1|7|0|301
OG0000456	CRv4_Au5_s17_g7593_t2, CRv4_Au5_s17_g7593_t1	maker_Scaffold_1047-augustus-gene-0.51-mRNA-1 protein AED_0.14 eAED_0.15 QI_0|1|0.83|1|1|1|6|0|181
OG0000457	CRv4_Au5_s16_g6724_t2, CRv4_Au5_s16_g6724_t1	genemark_Scaffold_372-abinit-gene-0.9-mRNA-1 protein AED_0.14 eAED_0.17 QI_0|0|0|0.66|1|1|6|0|372
OG0000458	CRv4_Au5_s38_g11490_t1, CRv4_Au5_s38_g11485_t1	maker_Scaffold_144-snap-gene-0.67-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.5|0.4|1|1|1|5|0|461
OG0000459	CRv4_Au5_s12_g4218_t1	genemark_Scaffold_211-abinit-gene-0.14-mRNA-1 protein AED_0.22 eAED_0.22 QI_0|0.66|0.5|0.7|1|1|10|0|379, maker_Scaffold_1416-augustus-gene-0.57-mRNA-1 protein AED_0.09 eAED_0.09 QI_54|0.5|0.2|0.8|1|0.8|5|0|318
OG0000460	CRv4_Au5_s1_g1702_t1, CRv4_Au5_s1_g1702_t2	genemark_Scaffold_1416-abinit-gene-0.11-mRNA-1 protein AED_0.19 eAED_0.20 QI_0|0.44|0.3|1|1|1|10|0|710
OG0000461	CRv4_Au5_s12_g3250_t1, CRv4_Au5_s12_g3250_t2	maker_Scaffold_95-snap-gene-0.67-mRNA-1 protein AED_0.58 eAED_0.58 QI_0|0|0|0.5|1|1|2|0|185
OG0000462	CRv4_Au5_s2_g9182_t1, CRv4_Au5_s2_g9183_t1	maker_Scaffold_382-snap-gene-0.58-mRNA-1 protein AED_0.15 eAED_0.21 QI_0|0.61|0.64|1|0.61|0.57|14|0|564
OG0000463	CRv4_Au5_s13_g4693_t1, CRv4_Au5_s13_g4693_t2	maker_Scaffold_482-augustus-gene-0.57-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|1|0.77|1|1|1|9|0|373
OG0000464	CRv4_Au5_s10_g341_t1	maker_Scaffold_297-snap-gene-0.21-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.66|0.57|1|0|0|7|0|660, maker_Scaffold_407-augustus-gene-0.58-mRNA-1 protein AED_0.23 eAED_0.24 QI_0|0.8|0.66|1|0.6|0.5|6|0|190
OG0000465	CRv4_Au5_s82_g15183_t1, CRv4_Au5_s5_g12034_t1	maker_Scaffold_407-snap-gene-0.70-mRNA-1 protein AED_0.10 eAED_0.12 QI_0|0.83|0.57|1|0.83|0.71|7|0|328
OG0000466	CRv4_Au5_s12_g3605_t1, CRv4_Au5_s2_g9757_t1	maker_Scaffold_731-snap-gene-0.55-mRNA-1 protein AED_0.20 eAED_0.20 QI_0|0.4|0.16|0.5|0.2|0|6|0|282
OG0000467	CRv4_Au5_s10_g751_t1, CRv4_Au5_s10_g751_t2	genemark_Scaffold_731-abinit-gene-0.14-mRNA-1 protein AED_0.42 eAED_0.43 QI_0|0|0|0.54|1|1|11|0|490
OG0000468	CRv4_Au5_s15_g5774_t2, CRv4_Au5_s15_g5774_t1	maker_Scaffold_1228-augustus-gene-0.48-mRNA-1 protein AED_0.10 eAED_0.28 QI_30|0.5|0|1|1|1|5|0|376
OG0000469	CRv4_Au5_s67_g13665_t1, CRv4_Au5_s10_g162_t1	maker_Scaffold_1615-snap-gene-0.59-mRNA-1 protein AED_0.18 eAED_0.20 QI_0|0.53|0.37|0.93|0.13|0.12|16|0|719
OG0000470	CRv4_Au5_s7_g14434_t1	genemark_Scaffold_732-abinit-gene-0.7-mRNA-1 protein AED_0.09 eAED_0.10 QI_0|0.74|0.71|0.96|1|1|32|0|1839, maker_Scaffold_460-augustus-gene-0.35-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.40|0.39|0.75|0.92|0.85|28|0|1668
OG0000471	CRv4_Au5_s2_g9706_t1, CRv4_Au5_s12_g3652_t1	maker_Scaffold_1077-augustus-gene-0.55-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|1|0|1|1|1|2|0|107
OG0000472	CRv4_Au5_s1_g1872_t1, CRv4_Au5_s1_g1902_t1	maker_Scaffold_1033-augustus-gene-0.72-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|1|0.5|1|1|1|2|0|163
OG0000473	CRv4_Au5_s11_g2571_t1, CRv4_Au5_s11_g2571_t2	genemark_Scaffold_1082-abinit-gene-0.11-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|0.25|0|1|1|1|5|0|430
OG0000474	CRv4_Au5_s12_g3875_t1	maker_Scaffold_887-snap-gene-0.31-mRNA-1 protein AED_0.07 eAED_0.10 QI_0|0.62|0.33|1|0.5|0.44|9|0|262, maker_Scaffold_228-snap-gene-0.58-mRNA-1 protein AED_0.06 eAED_0.13 QI_0|0.5|0.28|1|0.33|0.42|7|0|363
OG0000475	CRv4_Au5_s13_g4653_t1	maker_Scaffold_723-augustus-gene-0.48-mRNA-1 protein AED_0.23 eAED_0.24 QI_0|0.54|0.43|0.78|0.90|0.86|23|0|939, genemark_Scaffold_2573-abinit-gene-0.2-mRNA-1 protein AED_0.08 eAED_0.09 QI_0|0.76|0.55|0.94|1|1|18|0|807
OG0000476	CRv4_Au5_s16_g6298_t1, CRv4_Au5_s16_g6300_t1	maker_Scaffold_1084-augustus-gene-0.40-mRNA-1 protein AED_0.21 eAED_0.21 QI_0|0|0|0.58|1|1|12|0|515
OG0000477	CRv4_Au5_s13_g4931_t1	snap_masked_Scaffold_2216-abinit-gene-0.1-mRNA-1 protein AED_0.26 eAED_0.26 QI_0|-1|0|1|-1|1|1|0|129, genemark_Scaffold_1313-abinit-gene-0.15-mRNA-1 protein AED_0.13 eAED_0.16 QI_0|0|0|1|1|1|2|0|172
OG0000478	CRv4_Au5_s3_g10359_t2, CRv4_Au5_s3_g10359_t1	maker_Scaffold_1313-augustus-gene-0.72-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.8|0.5|1|0.8|0.66|6|0|304
OG0000479	CRv4_Au5_s12_g3693_t1	maker_Scaffold_47-augustus-gene-0.68-mRNA-1 protein AED_0.22 eAED_0.22 QI_0|0.71|0.5|0.87|0.85|1|8|0|345, maker_Scaffold_1052-snap-gene-0.66-mRNA-1 protein AED_0.11 eAED_0.11 QI_0|1|0.77|1|0.62|0.77|9|0|415
OG0000480	CRv4_Au5_s10_g879_t2, CRv4_Au5_s10_g879_t1	genemark_Scaffold_793-abinit-gene-0.19-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.66|0.25|0.75|1|1|4|0|371
OG0000481	CRv4_Au5_s1_g2139_t1, CRv4_Au5_s1_g2139_t2	maker_Scaffold_793-augustus-gene-0.68-mRNA-1 protein AED_0.13 eAED_0.17 QI_21|1|0|1|1|1|2|0|145
OG0000482	CRv4_Au5_s16_g6289_t1, CRv4_Au5_s2_g8896_t1	maker_Scaffold_793-snap-gene-0.74-mRNA-1 protein AED_0.19 eAED_0.19 QI_0|1|0.66|1|1|1|3|0|109
OG0000483	CRv4_Au5_s1_g2247_t1	maker_Scaffold_1996-snap-gene-0.60-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0.76|0.5|0.92|0.69|0.71|14|0|1138, genemark_Scaffold_1851-abinit-gene-0.2-mRNA-1 protein AED_0.17 eAED_0.19 QI_0|0|0|0.78|1|1|19|0|1011
OG0000484	CRv4_Au5_s6_g12867_t1, CRv4_Au5_s6_g12867_t2	augustus_masked_Scaffold_511-abinit-gene-0.4-mRNA-1 protein AED_0.37 eAED_0.37 QI_0|0|0|1|1|1|3|0|201
OG0000485	CRv4_Au5_s2_g9626_t1	maker_Scaffold_1214-augustus-gene-0.70-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|1|0.87|1|0.6|0.68|16|0|601, maker_Scaffold_1178-augustus-gene-0.46-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.85|0.8|0.86|0.92|0.86|15|0|633
OG0000486	CRv4_Au5_s10_g974_t2, CRv4_Au5_s10_g974_t1	maker_Scaffold_487-augustus-gene-0.51-mRNA-1 protein AED_0.39 eAED_0.39 QI_3|0.41|0.38|0.44|1|1|18|0|820
OG0000487	CRv4_Au5_s1_g1925_t2, CRv4_Au5_s1_g1925_t1	genemark_Scaffold_1647-abinit-gene-0.11-mRNA-1 protein AED_0.28 eAED_0.34 QI_0|0.25|0.11|0.66|1|1|9|0|406
OG0000488	CRv4_Au5_s14_g5366_t1, CRv4_Au5_s14_g5366_t2	genemark_Scaffold_755-abinit-gene-0.20-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0|0|1|1|1|2|0|96
OG0000489	CRv4_Au5_s10_g51_t1	genemark_Scaffold_1348-abinit-gene-0.7-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.53|0.5|1|1|1|16|0|775, maker_Scaffold_755-augustus-gene-0.63-mRNA-1 protein AED_0.20 eAED_0.20 QI_0|0.5|0.33|0.77|0.62|0.55|9|0|348
OG0000490	CRv4_Au5_s2_g8780_t1, CRv4_Au5_s2_g8779_t1	maker_Scaffold_535-augustus-gene-0.58-mRNA-1 protein AED_0.03 eAED_0.03 QI_0|1|0.85|1|1|1|7|0|268
OG0000491	CRv4_Au5_s17_g6981_t1, CRv4_Au5_s17_g6981_t2	augustus_masked_Scaffold_535-abinit-gene-0.5-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|1|0.83|1|1|1|6|0|462
OG0000492	CRv4_Au5_s6_g12827_t2, CRv4_Au5_s6_g12827_t1	maker_Scaffold_535-snap-gene-0.64-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0|0|1|0|0.5|2|0|400
OG0000493	CRv4_Au5_s12_g4259_t1	augustus_masked_Scaffold_934-abinit-gene-0.6-mRNA-1 protein AED_0.55 eAED_0.55 QI_0|0.66|0.25|0.75|1|1|4|0|176, augustus_masked_Scaffold_934-abinit-gene-0.7-mRNA-1 protein AED_0.81 eAED_0.81 QI_0|0|0|0.25|1|1|4|0|175
OG0000494	CRv4_Au5_s5_g12006_t1, CRv4_Au5_s5_g12006_t2	genemark_Scaffold_764-abinit-gene-0.17-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|1|0.6|1|1|1|5|0|382
OG0000495	CRv4_Au5_s10_g788_t1, CRv4_Au5_s10_g788_t2	maker_Scaffold_764-augustus-gene-0.56-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|1|0.5|1|1|1|4|0|269
OG0000496	CRv4_Au5_s13_g5118_t1, CRv4_Au5_s13_g5118_t2	maker_Scaffold_671-snap-gene-0.40-mRNA-1 protein AED_0.10 eAED_0.12 QI_0|0.6|0.5|0.87|0.73|0.56|16|0|1498
OG0000497	CRv4_Au5_s17_g6986_t1, CRv4_Au5_s3_g10698_t1	maker_Scaffold_423-augustus-gene-0.62-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|1|0.5|1|0.66|0.75|4|0|193
OG0000498	CRv4_Au5_s3_g10733_t1, CRv4_Au5_s3_g10734_t1	genemark_Scaffold_423-abinit-gene-0.8-mRNA-1 protein AED_0.42 eAED_0.42 QI_0|0|0|0.33|1|1|3|0|117
OG0000499	CRv4_Au5_s6_g13589_t1, CRv4_Au5_s3_g10760_t1	maker_Scaffold_464-snap-gene-0.70-mRNA-1 protein AED_0.27 eAED_0.27 QI_0|0.5|0|0.66|0.5|0.33|3|0|122
OG0000500	CRv4_Au5_s7_g14378_t1, CRv4_Au5_s7_g14380_t1	maker_Scaffold_464-snap-gene-0.73-mRNA-1 protein AED_0.57 eAED_0.58 QI_0|0|0|0.5|0|0|2|0|107
OG0000501	CRv4_Au5_s3_g10608_t1	maker_Scaffold_1404-augustus-gene-0.24-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|0.5|0|0.8|1|1|5|0|356, maker_Scaffold_338-augustus-gene-0.67-mRNA-1 protein AED_0.23 eAED_0.24 QI_0|0.81|0.66|0.91|1|1|12|0|318
OG0000502	CRv4_Au5_s1_g1701_t2, CRv4_Au5_s1_g1701_t1	maker_Scaffold_643-augustus-gene-0.65-mRNA-1 protein AED_0.25 eAED_0.25 QI_0|0.75|0.55|0.88|0.87|0.88|9|0|325
OG0000503	CRv4_Au5_s13_g4494_t2, CRv4_Au5_s13_g4494_t1	maker_Scaffold_259-snap-gene-0.34-mRNA-1 protein AED_0.11 eAED_0.21 QI_0|0.66|0.3|1|0.55|0.6|10|0|695
OG0000504	CRv4_Au5_s12_g2862_t2, CRv4_Au5_s12_g2862_t1	augustus_masked_Scaffold_766-abinit-gene-0.7-mRNA-1 protein AED_0.23 eAED_0.23 QI_0|0|0|0.33|1|1|3|0|112
OG0000505	CRv4_Au5_s8_g14981_t2, CRv4_Au5_s8_g14981_t1	maker_Scaffold_945-augustus-gene-0.37-mRNA-1 protein AED_0.34 eAED_0.38 QI_0|0|0|0.33|0.87|1|9|0|428
OG0000506	CRv4_Au5_s1_g1269_t1, CRv4_Au5_s12_g2828_t1	genemark_Scaffold_553-abinit-gene-0.16-mRNA-1 protein AED_0.43 eAED_0.43 QI_0|0.16|0|0.28|1|1|7|0|360
OG0000507	CRv4_Au5_s12_g3043_t2, CRv4_Au5_s12_g3043_t1	maker_Scaffold_470-augustus-gene-0.43-mRNA-1 protein AED_0.19 eAED_0.20 QI_60|0.64|0.53|0.93|0.85|0.73|15|0|634
OG0000508	CRv4_Au5_s12_g3248_t1	genemark_Scaffold_173-abinit-gene-0.6-mRNA-1 protein AED_0.22 eAED_0.23 QI_0|0.41|0.30|0.53|1|1|13|0|574, maker_Scaffold_161-augustus-gene-0.33-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.85|0.5|1|0.85|0.75|8|0|798
OG0000509	CRv4_Au5_s7_g13850_t2, CRv4_Au5_s7_g13850_t1	genemark_Scaffold_964-abinit-gene-0.5-mRNA-1 protein AED_0.08 eAED_0.09 QI_0|0.85|0.62|0.87|1|1|8|0|274
OG0000510	CRv4_Au5_s2_g9655_t1, CRv4_Au5_s2_g9655_t2	genemark_Scaffold_964-abinit-gene-0.9-mRNA-1 protein AED_0.26 eAED_0.26 QI_0|0.5|0|1|1|1|5|0|854
OG0000511	CRv4_Au5_s1_g1761_t1, CRv4_Au5_s1_g1758_t1	maker_Scaffold_330-augustus-gene-0.51-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.75|0.4|0.8|0.75|0.6|5|0|179
OG0000512	CRv4_Au5_s2_g9589_t2, CRv4_Au5_s2_g9589_t1	maker_Scaffold_687-snap-gene-0.60-mRNA-1 protein AED_0.21 eAED_0.21 QI_0|0.85|0.75|1|0.85|1|8|0|319
OG0000513	CRv4_Au5_s16_g6449_t1	maker_Scaffold_1400-augustus-gene-0.42-mRNA-1 protein AED_0.30 eAED_0.30 QI_0|0.6|0.5|0.83|1|0.83|6|0|237, maker_Scaffold_406-snap-gene-0.16-mRNA-1 protein AED_0.31 eAED_0.36 QI_0|0.66|0.6|0.9|0.66|0.7|10|0|583
OG0000514	CRv4_Au5_s10_g151_t1, CRv4_Au5_s3_g10736_t1	maker_Scaffold_40-snap-gene-0.38-mRNA-1 protein AED_0.12 eAED_0.18 QI_0|0.5|0.2|1|0.5|0.6|5|0|308
OG0000515	CRv4_Au5_s10_g730_t1	maker_Scaffold_492-augustus-gene-0.21-mRNA-1 protein AED_0.18 eAED_0.19 QI_0|0|0|1|1|1|3|0|320, maker_Scaffold_1153-augustus-gene-0.51-mRNA-1 protein AED_0.51 eAED_0.52 QI_0|0|0|0.66|1|0.66|3|0|184
OG0000516	CRv4_Au5_s12_g3754_t1, CRv4_Au5_s12_g3754_t2	augustus_masked_Scaffold_825-abinit-gene-0.1-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|1|0.75|1|1|1|4|0|291
OG0000517	CRv4_Au5_s7_g14398_t1, CRv4_Au5_s7_g14400_t1	maker_Scaffold_1231-augustus-gene-0.36-mRNA-1 protein AED_0.08 eAED_0.09 QI_0|0.88|0.8|0.9|1|1|10|0|424
OG0000518	CRv4_Au5_s8_g14848_t1, CRv4_Au5_s8_g14848_t2	maker_Scaffold_1323-snap-gene-0.54-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.85|0.62|1|0.57|0.5|8|0|242
OG0000519	CRv4_Au5_s1_g1713_t1	augustus_masked_Scaffold_1174-abinit-gene-0.2-mRNA-1 protein AED_0.46 eAED_0.46 QI_0|0.75|0.4|1|1|1|5|0|178, maker_Scaffold_1174-snap-gene-0.56-mRNA-1 protein AED_0.29 eAED_0.33 QI_0|0.5|0.55|0.88|0.37|0.44|9|0|437
OG0000520	CRv4_Au5_s2_g8802_t1, CRv4_Au5_s2_g8802_t2	maker_Scaffold_1136-augustus-gene-0.41-mRNA-1 protein AED_0.46 eAED_0.46 QI_0|0|0|0.47|0.93|0.88|17|0|702
OG0000521	CRv4_Au5_s14_g5485_t2, CRv4_Au5_s14_g5485_t1	maker_Scaffold_1819-augustus-gene-0.34-mRNA-1 protein AED_0.25 eAED_0.25 QI_0|0.25|0|0.6|1|1|5|0|188
OG0000522	CRv4_Au5_s12_g3995_t1, CRv4_Au5_s12_g3994_t1	maker_Scaffold_1000-augustus-gene-0.37-mRNA-1 protein AED_0.22 eAED_0.23 QI_0|0.5|0.33|0.55|1|1|9|0|356
OG0000523	CRv4_Au5_s16_g6792_t1	maker_Scaffold_1229-snap-gene-0.29-mRNA-1 protein AED_0.25 eAED_0.25 QI_0|0|0|1|0|0|2|0|368, genemark_Scaffold_1239-abinit-gene-0.6-mRNA-1 protein AED_0.10 eAED_0.10 QI_0|0|0|0.75|1|1|4|0|414
OG0000524	CRv4_Au5_s7_g14457_t1, CRv4_Au5_s7_g14458_t1	maker_Scaffold_1239-snap-gene-0.50-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.66|0.25|0.75|0.66|0.5|4|0|373
OG0000525	CRv4_Au5_s2_g9697_t1, CRv4_Au5_s2_g9697_t2	maker_Scaffold_1418-snap-gene-0.38-mRNA-1 protein AED_0.03 eAED_0.03 QI_0|1|0|1|1|1|2|0|303
OG0000526	CRv4_Au5_s8_g14985_t1	maker_Scaffold_588-augustus-gene-0.31-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|0.8|0.5|0.83|1|1|6|0|266, genemark_Scaffold_588-abinit-gene-0.8-mRNA-1 protein AED_0.09 eAED_0.09 QI_0|0.6|0.5|0.83|1|1|6|0|210
OG0000527	CRv4_Au5_s3_g10985_t1	maker_Scaffold_588-snap-gene-0.38-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0|0|1|0|0|2|0|223, maker_Scaffold_588-snap-gene-0.39-mRNA-1 protein AED_0.20 eAED_0.21 QI_0|0|0|0.66|0|0|3|0|368
OG0000528	CRv4_Au5_s6_g12539_t2, CRv4_Au5_s6_g12539_t1	maker_Scaffold_1497-augustus-gene-0.46-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.66|0.5|0.75|1|1|4|0|92
OG0000529	CRv4_Au5_s2_g8532_t2, CRv4_Au5_s2_g8532_t1	genemark_Scaffold_256-abinit-gene-0.7-mRNA-1 protein AED_0.23 eAED_0.23 QI_0|1|0.6|1|1|1|5|0|355
OG0000530	CRv4_Au5_s12_g3923_t1, CRv4_Au5_s12_g3923_t2	maker_Scaffold_231-snap-gene-0.41-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|1|0.33|1|1|1|3|0|367
OG0000531	CRv4_Au5_s1_g1621_t1, CRv4_Au5_s1_g1621_t2	maker_Scaffold_567-snap-gene-0.39-mRNA-1 protein AED_0.23 eAED_0.23 QI_0|0.90|0.75|1|0.81|0.75|12|0|586
OG0000532	CRv4_Au5_s13_g4477_t1, CRv4_Au5_s10_g335_t1	augustus_masked_Scaffold_1254-abinit-gene-0.0-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0|0|0.75|1|1|4|0|284
OG0000533	CRv4_Au5_s17_g7407_t1, CRv4_Au5_s17_g7407_t2	maker_Scaffold_627-augustus-gene-0.42-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0.66|0.25|0.75|0.66|0.75|4|0|212
OG0000534	CRv4_Au5_s16_g6945_t1, CRv4_Au5_s12_g3699_t1	augustus_masked_Scaffold_399-abinit-gene-0.6-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.8|0.72|0.90|1|1|11|0|427
OG0000535	CRv4_Au5_s17_g7079_t1	maker_Scaffold_1276-augustus-gene-0.38-mRNA-1 protein AED_0.17 eAED_0.17 QI_0|0.66|0.5|0.7|1|1|10|0|396, maker_Scaffold_1751-augustus-gene-0.11-mRNA-1 protein AED_0.07 eAED_0.07 QI_77|1|1|1|1|1|9|0|400
OG0000536	CRv4_Au5_s7_g14482_t1, CRv4_Au5_s1_g1470_t1	maker_Scaffold_1276-snap-gene-0.47-mRNA-1 protein AED_0.10 eAED_0.11 QI_0|0.66|0.25|0.75|0|0|4|0|128
OG0000537	CRv4_Au5_s1_g1246_t1, CRv4_Au5_s5_g12184_t1	maker_Scaffold_238-augustus-gene-0.38-mRNA-1 protein AED_0.23 eAED_0.23 QI_0|0.57|0.37|0.62|0.85|0.87|8|0|254
OG0000538	CRv4_Au5_s16_g6928_t1	maker_Scaffold_2013-augustus-gene-0.40-mRNA-1 protein AED_0.06 eAED_0.07 QI_0|0.66|0.25|1|0.66|0.5|4|0|401, maker_Scaffold_1569-augustus-gene-0.36-mRNA-1 protein AED_0.07 eAED_0.08 QI_0|0.5|0|0.66|1|1|3|0|375
OG0000539	CRv4_Au5_s6_g12709_t2, CRv4_Au5_s6_g12709_t1	genemark_Scaffold_303-abinit-gene-0.15-mRNA-1 protein AED_0.18 eAED_0.21 QI_0|0.6|0.33|0.66|1|1|6|0|537
OG0000540	CRv4_Au5_s7_g14330_t1, CRv4_Au5_s7_g14330_t2	maker_Scaffold_1419-snap-gene-0.33-mRNA-1 protein AED_0.05 eAED_0.08 QI_0|1|0.75|1|0.71|0.75|8|0|606
OG0000541	CRv4_Au5_s3_g11038_t1	maker_Scaffold_2404-augustus-gene-0.23-mRNA-1 protein AED_0.35 eAED_0.35 QI_0|0.47|0.27|0.83|1|0.94|18|0|757, augustus_masked_Scaffold_1605-abinit-gene-0.4-mRNA-1 protein AED_0.33 eAED_0.34 QI_0|0.81|0.75|1|1|1|12|0|426
OG0000542	CRv4_Au5_s5_g12033_t1, CRv4_Au5_s82_g15184_t1	maker_Scaffold_467-augustus-gene-0.38-mRNA-1 protein AED_0.21 eAED_0.21 QI_0|0.5|0|0.66|1|0.66|3|0|135
OG0000543	CRv4_Au5_s17_g7809_t1	maker_Scaffold_504-augustus-gene-0.24-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|1|0.66|1|1|0.33|3|0|192, maker_Scaffold_467-augustus-gene-0.41-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0.5|0.33|0.66|1|1|3|0|170
OG0000544	CRv4_Au5_s5_g12205_t1, CRv4_Au5_s5_g12205_t2	maker_Scaffold_324-augustus-gene-0.51-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0.5|0.2|0.8|0.75|0.8|5|0|199
OG0000545	CRv4_Au5_s5_g12262_t2, CRv4_Au5_s5_g12262_t1	maker_Scaffold_310-augustus-gene-0.46-mRNA-1 protein AED_0.33 eAED_0.33 QI_0|0.42|0.37|0.62|0.85|0.87|8|0|257
OG0000546	CRv4_Au5_s6_g12455_t1, CRv4_Au5_s16_g6431_t1	genemark_Scaffold_2116-abinit-gene-0.4-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|0|0|1|1|1|2|0|138
OG0000547	CRv4_Au5_s11_g2597_t2, CRv4_Au5_s11_g2597_t1	maker_Scaffold_830-snap-gene-0.45-mRNA-1 protein AED_0.09 eAED_0.09 QI_31|0.66|0.25|0.75|0.66|0.75|4|0|268
OG0000548	CRv4_Au5_s10_g960_t2, CRv4_Au5_s10_g960_t1	snap_masked_Scaffold_2084-abinit-gene-0.14-mRNA-1 protein AED_0.15 eAED_0.00 QI_0|1|0.5|1|1|0.5|4|110|183
OG0000549	CRv4_Au5_s13_g4988_t1, CRv4_Au5_s12_g3745_t1	maker_Scaffold_727-augustus-gene-0.25-mRNA-1 protein AED_0.20 eAED_1.00 QI_0|0|0|0.66|1|1|3|0|326
OG0000550	CRv4_Au5_s9_g15305_t1, CRv4_Au5_s9_g15308_t1	maker_Scaffold_559-augustus-gene-0.32-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|1|0.90|1|1|1|11|0|572
OG0000551	CRv4_Au5_s17_g7259_t1, CRv4_Au5_s17_g7259_t2	maker_Scaffold_1411-augustus-gene-0.36-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|0.87|0.77|1|1|0.88|9|0|442
OG0000552	CRv4_Au5_s16_g6077_t2, CRv4_Au5_s16_g6077_t1	maker_Scaffold_2549-augustus-gene-0.30-mRNA-1 protein AED_0.11 eAED_0.13 QI_0|0|0|0.66|1|1|3|0|86
OG0000553	CRv4_Au5_s1_g1805_t2, CRv4_Au5_s1_g1805_t1	genemark_Scaffold_2549-abinit-gene-0.6-mRNA-1 protein AED_0.29 eAED_0.32 QI_0|0.25|0|0.6|1|1|5|0|315
OG0000554	CRv4_Au5_s16_g6391_t1, CRv4_Au5_s6_g13483_t1	maker_Scaffold_850-augustus-gene-0.25-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.66|0.25|0.75|1|0.75|4|0|237
